Day,SumDC,Delay,Cancel
1,74,72,2
2,103,103,0
3,237,232,5
4,344,329,15
5,295,274,21
6,418,384,34
7,327,280,47
8,146,129,17
9,393,342,51
10,59,57,2
11,76,74,2
12,210,174,36
13,60,52,8
14,85,76,9
15,94,82,12
16,142,138,4
17,29,28,1
18,111,106,5
19,87,85,2
20,30,25,5
21,62,55,7
22,94,90,4
23,87,83,4
24,191,165,26
25,45,42,3
26,448,196,252
27,571,0,571
28,212,58,154
29,85,77,8
30,296,284,12
31,36,33,3
